"gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"ATP6V1D",1.45631123911836e-43,0.443313373884203,0.623,0.545,5.32878845505799e-39
"METAP1",1.47869795169415e-43,-0.504123705127594,0.275,0.361,5.41070367504405e-39
"SURF2",1.47957835506294e-43,-0.830396275754103,0.119,0.187,5.41392515901082e-39
"GTF2H2C",1.52995946837428e-43,-0.860766055664966,0.113,0.18,5.59827469072832e-39
"CDC6",1.5752454535813e-43,1.68491494194423,0.101,0.039,5.76398063919933e-39
"RIPOR1",1.61198737367988e-43,-0.480777593925029,0.3,0.39,5.89842299903206e-39
"OXLD1",1.75021878135822e-43,-0.795148509749217,0.147,0.22,6.40422554286786e-39
"RHOU",1.78027610511199e-43,-0.509204800592111,0.445,0.524,6.51420829621528e-39
"GTF3C3",1.97309137234988e-43,-0.592239576421473,0.245,0.328,7.21973864056546e-39
"DEF8",2.05862740879627e-43,-0.674204626368828,0.197,0.277,7.53272355152643e-39
"CFAP97",2.13847170902902e-43,-0.334587485572842,0.489,0.58,7.82488183050807e-39
"MICU1",2.40792157767958e-43,-0.391580658889908,0.512,0.593,8.81082584488734e-39
"GAPVD1",2.51639076322786e-43,-0.318433181431036,0.579,0.653,9.20772544172705e-39
"CAST",2.63856056454142e-43,0.422964523903266,0.923,0.916,9.65475696171349e-39
"SPCS3",2.68974605751798e-43,0.369834925155094,0.797,0.774,9.84204979906404e-39
"SORBS2",2.70402899099597e-43,1.06751626070056,0.235,0.149,9.89431248095335e-39
"DYNC2H1",2.81661893432232e-43,-0.724530201997975,0.222,0.302,1.03062903425788e-38
"ANKRD28",2.98745935626695e-43,-0.339485851445676,0.537,0.633,1.09314125305164e-38
"SRSF12",3.05396655279478e-43,0.89841624529102,0.172,0.093,1.11747690133314e-38
"RBM27",3.27952222184693e-43,-0.344740427130713,0.506,0.591,1.20000997619601e-38
"GOLGA3",3.28099475565225e-43,0.407961254387863,0.606,0.516,1.20054879104072e-38
"COQ4",3.49872235775935e-43,-0.679755785288096,0.214,0.292,1.28021749792773e-38
"SLC35E2A",3.88779451352332e-43,-0.978276619395158,0.081,0.14,1.42258289044332e-38
"SSH1",4.53230028317132e-43,-0.390917881881746,0.47,0.552,1.65841399661522e-38
"STAM",4.78390744562339e-43,0.628188795249172,0.409,0.307,1.75047957342805e-38
"SNTA1",5.21379537985647e-43,1.18448877513722,0.126,0.058,1.90777986744328e-38
"GCSH",5.36870030426944e-43,-0.446946127620513,0.356,0.449,1.96446112833523e-38
"TGOLN2",5.50963779391764e-43,-0.270702769502873,0.633,0.727,2.0160315651724e-38
"PPIL4",5.84589002611299e-43,0.362315825035034,0.735,0.669,2.139069619455e-38
"NIF3L1",5.96772880002133e-43,-0.723357686040545,0.157,0.231,2.18365164521581e-38
"AC018682.1",6.55429391047643e-43,1.01650248154749,0.419,0.338,2.39828168478243e-38
"SNAPC5",6.62130158901412e-43,-0.932318917305872,0.082,0.142,2.42280046443616e-38
"PRKCH",6.80438002524528e-43,1.10009528841802,0.134,0.063,2.4897906950375e-38
"RGS9",6.93648578437214e-43,0.978845027033639,0.181,0.102,2.53812951335961e-38
"OMG",7.07845167120932e-43,-0.74947205765289,0.172,0.249,2.5900762510122e-38
"CCDC12",7.21654815727127e-43,-0.386802240569062,0.494,0.574,2.64060713622713e-38
"TAF11",7.67354023184423e-43,-0.387452211676314,0.437,0.525,2.80782510623412e-38
"BAG3",8.54931855311362e-43,0.594839387560044,0.459,0.362,3.12828115176981e-38
"PEX6",8.68801467973099e-43,-0.707513510995043,0.223,0.302,3.17903145146037e-38
"MTRNR2L8",8.81776325635014e-43,0.468106165996097,0.622,0.536,3.22650775313108e-38
"LINC00476",9.26311928808516e-43,-1.144503664192,0.07,0.126,3.38946797870324e-38
"NCOA3",9.38366112081806e-43,0.3771381607779,0.668,0.581,3.43357544071853e-38
"ABHD5",1.1131183752001e-42,0.860816740817349,0.312,0.22,4.0730114466947e-38
"ATF5",1.11693895559983e-42,0.858440764865922,0.192,0.11,4.08699133243534e-38
"SLC39A10",1.13487427910374e-42,0.680609989863355,0.534,0.456,4.15261847466851e-38
"KIF7",1.14586499682049e-42,-1.04332414139133,0.07,0.126,4.19283460986585e-38
"AC012358.3",1.1505697411747e-42,-0.810932197158636,0.14,0.211,4.21004973993235e-38
"TMTC2",1.23020636203388e-42,1.23505225661121,0.112,0.047,4.50144809931818e-38
"SLC35D2",1.25767726743846e-42,-1.0001264612188,0.064,0.118,4.60196688928406e-38
"UPRT",1.36479175566179e-42,-0.956135660858226,0.097,0.16,4.99390951314204e-38
"ZC3H15",1.4074492369111e-42,0.352941887191187,0.796,0.75,5.14999750278142e-38
"ZC3H4",1.51971520835785e-42,-0.847692983696211,0.146,0.216,5.56078991890221e-38
"HDAC1",1.61543695595335e-42,-0.497632085926654,0.322,0.408,5.9110453655289e-38
"USF3",1.74278067614633e-42,-0.662882657044813,0.251,0.332,6.37700877208705e-38
"MRPS16",1.84021759449263e-42,-0.43574151312806,0.373,0.462,6.73354020000798e-38
"ALKBH3",1.85336686618075e-42,-0.879484444248579,0.122,0.19,6.78165470004199e-38
"TMEM219",2.04241252568081e-42,-0.324963951955298,0.541,0.626,7.47339167271866e-38
"FAM89B",2.18416443398228e-42,-0.629192425692895,0.223,0.303,7.99207608038458e-38
"TGFBR2",2.30968904875171e-42,0.571508139241781,0.752,0.757,8.45138319828737e-38
"KIF9-AS1",2.3950379871335e-42,-0.612120588900585,0.25,0.334,8.76368349872018e-38
"TMEM117",2.46382186810937e-42,-0.987206998925288,0.091,0.153,9.015370597599e-38
"SHISA5",2.60546753353999e-42,-0.32518007289197,0.567,0.647,9.53366625197619e-38
"ZNF585B",2.66569851268754e-42,-0.682278432760159,0.199,0.278,9.75405742777496e-38
"SNX29",2.8011883367517e-42,-0.426252061586208,0.463,0.546,1.02498282430082e-37
"AC007566.1",2.8299183320752e-42,-0.976880869416274,0.069,0.124,1.03549541688964e-37
"CD81-AS1",3.04910145265624e-42,-1.04798888912937,0.075,0.131,1.11569671254145e-37
"SUPT20H",3.17552917326154e-42,-0.502788802879841,0.336,0.421,1.16195787978813e-37
"AC010894.3",3.18705082588568e-42,-0.424288824014984,0.37,0.459,1.16617376769983e-37
"LHFPL5",3.35195119587199e-42,1.07676194040456,0.165,0.089,1.22651246208152e-37
"ULK4",3.38095973564977e-42,-0.781221659944282,0.165,0.241,1.23712697687161e-37
"TMEM208",3.41204276379708e-42,0.381105848790335,0.731,0.708,1.24850056770099e-37
"CHROMR",3.72487309886719e-42,-1.07429806379478,0.065,0.118,1.36296831560649e-37
"FAM98C",3.97643031833345e-42,-1.1194550656591,0.055,0.105,1.45501561778139e-37
"AC016876.1",4.22604498622263e-42,-1.18831539084041,0.058,0.108,1.54635212090872e-37
"DBNL",4.32668598680362e-42,-0.581077398567017,0.252,0.334,1.58317766943131e-37
"RAB11FIP2",4.67702984623592e-42,-0.62409832267044,0.231,0.311,1.71137199103619e-37
"MCMBP",4.73928827082504e-42,-0.37738601609289,0.462,0.545,1.73415297117759e-37
"MCC",4.94666307801875e-42,0.417713252580122,0.676,0.581,1.81003348687784e-37
"UQCRC1",4.97370073305843e-42,-0.280062674248859,0.64,0.727,1.81992683523341e-37
"PPID",5.05094869269008e-42,-0.486990825199067,0.324,0.41,1.84819263614223e-37
"SEMA6A",5.18140555572667e-42,1.32071135407138,0.181,0.104,1.89592810689594e-37
"GATAD2A",5.58948771779954e-42,-0.330770875752346,0.591,0.659,2.04524945082003e-37
"TMEM69",5.74841140019403e-42,-0.813551186161455,0.148,0.219,2.103401215445e-37
"SHOC2",5.9929105614854e-42,-0.352128972734294,0.558,0.629,2.19286590355312e-37
"PDZD8",6.0339534257209e-42,-0.399050213332837,0.388,0.479,2.20788389800553e-37
"SEC13",6.17511439036282e-42,0.316045300228077,0.705,0.641,2.25953610657766e-37
"BLOC1S2",6.26015662649099e-42,0.608469533614526,0.348,0.252,2.29065391119932e-37
"PLCB4",6.41876452878876e-42,-1.33260853858596,0.069,0.123,2.34869012872909e-37
"TMEM243",6.51446994504392e-42,-0.420265444193232,0.376,0.465,2.38370969759102e-37
"WDR48",7.14908012666102e-42,-0.458059446305884,0.271,0.359,2.61591990914653e-37
"LENG8-AS1",7.53419361162738e-42,-0.920857840684112,0.091,0.152,2.75683678443057e-37
"LIG1",8.30040124813959e-42,-0.905711672964547,0.091,0.152,3.03719982070676e-37
"ARMC2",9.0032623180054e-42,-0.686193315228461,0.164,0.24,3.29438371478136e-37
"VPS13B-DT",9.21912823961535e-42,-0.811565559174793,0.106,0.172,3.37337121415765e-37
"LARP1",9.76854301865772e-42,-0.34155133495588,0.539,0.618,3.57440757595705e-37
"MOB1B",9.89870134633041e-42,-0.275849086913093,0.433,0.528,3.62203380963576e-37
"SESTD1",1.06482004667456e-41,0.615123845121986,0.586,0.511,3.8962830327869e-37
"DNAJC10",1.07817135927224e-41,-0.410461417233612,0.447,0.538,3.94513682071305e-37
"COX18",1.15824402361496e-41,-1.02051668422211,0.077,0.134,4.23813070680951e-37
"LTBP1",1.17593237572787e-41,0.391145265069709,0.784,0.735,4.30285415602586e-37
"MDP1",1.19964511546504e-41,-0.792347172281598,0.142,0.212,4.38962144199812e-37
"DUSP10",1.41216970460914e-41,1.1038265259159,0.177,0.1,5.1672701661353e-37
"VPS35L",1.42392268657885e-41,-0.550763421387098,0.268,0.35,5.21027550246068e-37
"SIVA1",1.46963397690685e-41,0.375062529350192,0.719,0.674,5.37753768489985e-37
"TCP11L1",1.55263046177125e-41,-0.677978564591146,0.202,0.279,5.68123012266718e-37
"NEDD4",1.59608853508167e-41,-0.305376925782939,0.415,0.509,5.84024755871733e-37
"EPHB4",1.60135473233365e-41,-0.834458130810228,0.115,0.181,5.85951710108206e-37
"EIF1AY",1.62439647108633e-41,-0.755073937753254,0.249,0.325,5.94382912735198e-37
"AC007038.1",1.67034777332077e-41,-1.02079760386033,0.063,0.116,6.11196953735804e-37
"C19orf12",1.76824689859597e-41,-0.716265835935072,0.193,0.268,6.47019222665251e-37
"AC114930.1",1.80498960465735e-41,-1.1052908507874,0.063,0.115,6.6046374624017e-37
"INPP5K",1.92500148490772e-41,-0.798812390776018,0.088,0.15,7.04377293342583e-37
"ENO2",1.93836429552953e-41,0.823998648833547,0.413,0.332,7.0926687937721e-37
"IRS1",2.00050799761721e-41,-0.354998401897037,0.389,0.488,7.32005881408114e-37
"ASB3",2.03968173013763e-41,-0.310389987427474,0.502,0.594,7.4633994187466e-37
"ATP1B1",2.28274476956598e-41,0.667938838794276,0.693,0.652,8.35279138631889e-37
"SRF",2.35658833412881e-41,-0.760150899208314,0.134,0.204,8.62299237341072e-37
"TMEM131",2.3753975941341e-41,-0.298585817385602,0.609,0.683,8.6918173366961e-37
