"donor_id","infection","hpi","condition","cell_type","n_cells","EA_release_score","EA_recycle_score","EA_proxy","FLT1_expr","PGF_expr","FLT1_minus_PGF","Angio_stress_score"
"scDonor_Tg1","UI","24h","UI_24h","HBC",1022,0.112831223265202,0.217406930414315,-0.0305530811116534,0.121799899844741,0.0582622885849844,-0.550894646870033,1.00915787460765
"scDonor_Tg1","UI","24h","UI_24h","HBC_p",12,0.151580195046133,0.332038948436578,-0.475262385126022,0.0244062294562658,0,-0.549788450001589,0.76193492416115
"scDonor_Tg1","UI","24h","UI_24h","PAMM1",83,0.100331345655353,0.166315462933965,0.210128122163095,0.137957506330617,0.0584595481674355,-0.538890709705966,0.845680669501501
"scDonor_Tg1","UI","24h","UI_24h","PV",154,0.0548639233945768,0.167172472972374,-0.200594419631683,2.44935486610834,0.290458618239923,0.916011985403796,0.612489365773873
"scDonor_Tg1","UI","24h","UI_24h","VCT",945,0.06110488635864,0.229567311945416,-0.574871712075261,1.5278189219495,0.879402639058532,-0.541171929338481,0.509082117311809
"scDonor_Tg1","UI","24h","UI_24h","VCT_CCC",221,0.067540571486878,0.23798403067017,-0.575555210947562,1.75862528801773,0.363245117785704,0.298307157540546,0.558945238599873
"scDonor_Tg1","UI","24h","UI_24h","VCT_fusing",511,0.102751767895848,0.234628342068709,-0.23893520506293,1.23720624793591,2.15181622673154,-2.39944855680597,0.747822312338745
"scDonor_Tg1","UI","24h","UI_24h","VCT_p",370,0.070025984197855,0.21185053410965,-0.373390385467894,0.961338533561777,0.98399482441915,-1.1055552234291,0.453324230075688
"scDonor_Tg1","UI","24h","UI_24h","iEVT",59,0.08516746963569,0.18686397409035,-0.0664437514151852,2.07650580093012,1.86012819737701,-1.38726999650237,0.736281085335458
"scDonor_Tg1","UI","48h","UI_48h","EVT_1",35,0.105512894122373,0.158596673224654,0.309437393646576,2.05612371649061,1.75716501048633,-1.27020214926584,0.694842324816451
"scDonor_Tg1","UI","48h","UI_48h","EVT_2",101,0.0668011540454803,0.151354121158619,0.0146625746665968,2.89192344823686,1.44427361243432,-0.233386478046573,0.724546528978555
"scDonor_Tg1","UI","48h","UI_48h","Endo_f",165,0.162024704058363,0.216105087869095,0.41640885868084,2.86041050788128,0.222749386502035,1.31500907441842,0.807706778448123
"scDonor_Tg1","UI","48h","UI_48h","F",122,0.0898108847968565,0.130833757094672,0.360895992239144,1.60253838022224,0.0766408116113944,0.548799920862401,0.739303944898503
"scDonor_Tg1","UI","48h","UI_48h","F_p",4,0.0816825826962789,0.0604974389076233,0.773078947572256,1.37854611873627,0.0703934580087662,0.386911302717268,0.542359884296145
"scDonor_Tg1","UI","48h","UI_48h","HBC",1000,0.172534485424558,0.267390926927328,0.15666981972099,0.163715347081423,0.0628221201449633,-0.524965071544675,0.922081611882363
"scDonor_Tg1","UI","48h","UI_48h","HBC_p",5,0.135365537802378,0.242335385084152,-0.00165349311364622,0.262491917610168,0.207464599609375,-0.636207655781006,0.770500232066427
"scDonor_Tg1","UI","48h","UI_48h","PAMM1",18,0.0817296378038548,0.224403236475256,-0.355663765152262,0.373127390113142,0,-0.285233849374732,0.728793954210622
"scDonor_Tg1","UI","48h","UI_48h","PV",171,0.0659769967953596,0.169924826562753,-0.120610544115756,2.6008332619193,0.302334442386153,1.01564375505962,0.629955690637318
"scDonor_Tg1","UI","48h","UI_48h","VCT",488,0.0752138966093949,0.225332779113631,-0.420080272919866,2.28455528757367,0.739997386230064,0.212357728521717,0.553349994350905
